"scenario","days","rep","iter","n_reports","n_factors","converged","hypothesis","sign","truth","est","lo","hi","p_positive"
"null",365,1,1000,874,23,TRUE,"H1",1,0,0.0211,-0.141,0.1778,0.6005
"null",365,1,1000,874,23,TRUE,"H2",1,0,0.1324,-0.0306,0.3073,0.94375
"null",365,1,1000,874,23,TRUE,"H3a",-1,0,0.0823,-0.1176,0.2867,0.80725
"null",365,1,1000,874,23,TRUE,"H3b",-1,0,-0.0516,-0.2474,0.1513,0.2995
"null",365,1,1000,874,23,TRUE,"H4",1,0,-0.1202,-0.319,0.0764,0.11675
"null",365,1,1000,874,23,TRUE,"null:sleep_efficiency",1,0,0.0045,-0.0519,0.1063,0.623
"null",365,1,1000,874,23,TRUE,"null:hrv_ms",1,0,-0.0065,-0.1136,0.0412,0.34825
"null",365,1,1000,874,23,TRUE,"null:resting_hr",1,0,-0.0033,-0.0897,0.0561,0.40675
"null",365,1,1000,874,23,TRUE,"null:skin_temp_dev_c",1,0,0.0047,-0.047,0.1029,0.62075
"null",365,1,1000,874,23,TRUE,"null:exercise_min",1,0,0.0036,-0.0508,0.1091,0.6015
"null",365,1,1000,874,23,TRUE,"null:outdoor_min",1,0,-0.0045,-0.1043,0.0522,0.379
"null",365,1,1000,874,23,TRUE,"null:caffeine_mg",1,0,0.0059,-0.0506,0.116,0.63325
"null",365,1,1000,874,23,TRUE,"null:alcohol_units",1,0,-0.003,-0.0956,0.0607,0.41775
"null",365,1,1000,874,23,TRUE,"null:work_day",1,0,0.0031,-0.0626,0.1051,0.59125
"null",365,1,1000,874,23,TRUE,"null:travel",1,0,0.0059,-0.0456,0.1174,0.63875
"null",365,1,1000,874,23,TRUE,"null:sick",1,0,-7e-04,-0.0812,0.0687,0.47625
"null",365,1,1000,874,23,TRUE,"null:temp_mean_c",1,0,0,-0.0751,0.0801,0.499
"null",365,1,1000,874,23,TRUE,"null:precipitation_mm",1,0,0.0083,-0.0378,0.1142,0.671
"null",365,1,1000,874,23,TRUE,"null:sunshine_hours",1,0,-3e-04,-0.0741,0.0689,0.484
"null",365,1,1000,874,23,TRUE,"null:daylight_hours",1,0,0.0014,-0.0609,0.0906,0.54925
"null",365,1,1000,874,23,TRUE,"null:pm25",1,0,0.0016,-0.0576,0.0835,0.5545
"null",365,1,1000,874,23,TRUE,"null:indoor_pm25",1,0,-0.007,-0.1087,0.0452,0.3445
"null",365,1,1000,874,23,TRUE,"null:indoor_voc",1,0,-0.0044,-0.1013,0.0507,0.38025
"null",365,1,1000,874,23,TRUE,"H5",1,0,0.1144,-0.5283,0.7228,0.6495
"null",365,2,1000,865,23,FALSE,"H1",1,0,-0.0476,-0.2195,0.1124,0.2905
"null",365,2,1000,865,23,FALSE,"H2",1,0,-0.0104,-0.1658,0.1396,0.44875
"null",365,2,1000,865,23,FALSE,"H3a",-1,0,0.0844,-0.089,0.2479,0.8305
"null",365,2,1000,865,23,FALSE,"H3b",-1,0,-0.0917,-0.2608,0.0731,0.1465
"null",365,2,1000,865,23,FALSE,"H4",1,0,-0.0638,-0.2394,0.1078,0.22675
"null",365,2,1000,865,23,FALSE,"null:sleep_efficiency",1,0,-0.0039,-0.0935,0.0401,0.378
"null",365,2,1000,865,23,FALSE,"null:hrv_ms",1,0,7e-04,-0.0523,0.0702,0.5285
"null",365,2,1000,865,23,FALSE,"null:resting_hr",1,0,0.0029,-0.0419,0.0812,0.60025
"null",365,2,1000,865,23,FALSE,"null:skin_temp_dev_c",1,0,-0.0014,-0.0759,0.0508,0.44
"null",365,2,1000,865,23,FALSE,"null:exercise_min",1,0,-0.0013,-0.0765,0.0535,0.44675
"null",365,2,1000,865,23,FALSE,"null:outdoor_min",1,0,-0.0017,-0.0832,0.0499,0.436
"null",365,2,1000,865,23,FALSE,"null:caffeine_mg",1,0,-0.0036,-0.0841,0.0426,0.37975
"null",365,2,1000,865,23,FALSE,"null:alcohol_units",1,0,3e-04,-0.0642,0.065,0.517
"null",365,2,1000,865,23,FALSE,"null:work_day",1,0,1e-04,-0.0633,0.067,0.508
"null",365,2,1000,865,23,FALSE,"null:travel",1,0,-0.0017,-0.0794,0.0533,0.4295
"null",365,2,1000,865,23,FALSE,"null:sick",1,0,-0.0014,-0.0826,0.0504,0.44675
"null",365,2,1000,865,23,FALSE,"null:temp_mean_c",1,0,9e-04,-0.0611,0.0724,0.534
"null",365,2,1000,865,23,FALSE,"null:precipitation_mm",1,0,-0.0044,-0.0937,0.0407,0.36225
"null",365,2,1000,865,23,FALSE,"null:sunshine_hours",1,0,0.0078,-0.0298,0.113,0.6915
"null",365,2,1000,865,23,FALSE,"null:daylight_hours",1,0,5e-04,-0.0657,0.0672,0.52525
"null",365,2,1000,865,23,FALSE,"null:pm25",1,0,-0.0028,-0.0848,0.0466,0.398
"null",365,2,1000,865,23,FALSE,"null:indoor_pm25",1,0,0.0021,-0.0513,0.0806,0.577
"null",365,2,1000,865,23,FALSE,"null:indoor_voc",1,0,1e-04,-0.0569,0.0666,0.504
"null",365,2,1000,865,23,FALSE,"H5",1,0,0.0027,-0.5937,0.5329,0.50525
"null",365,3,1000,900,23,FALSE,"H1",1,0,-0.0504,-0.1965,0.0913,0.243
"null",365,3,1000,900,23,FALSE,"H2",1,0,-0.0069,-0.1572,0.1501,0.4675
"null",365,3,1000,900,23,FALSE,"H3a",-1,0,-0.1441,-0.3185,0.0389,0.06275
"null",365,3,1000,900,23,FALSE,"H3b",-1,0,0.0842,-0.0863,0.2551,0.82525
"null",365,3,1000,900,23,FALSE,"H4",1,0,-0.0837,-0.2748,0.1087,0.1945
"null",365,3,1000,900,23,FALSE,"null:sleep_efficiency",1,0,0.0156,-0.0503,0.1273,0.70475
"null",365,3,1000,900,23,FALSE,"null:hrv_ms",1,0,-0.0086,-0.1105,0.0652,0.3715
"null",365,3,1000,900,23,FALSE,"null:resting_hr",1,0,0.0137,-0.0542,0.1189,0.68875
"null",365,3,1000,900,23,FALSE,"null:skin_temp_dev_c",1,0,0.0139,-0.0494,0.1255,0.699
"null",365,3,1000,900,23,FALSE,"null:exercise_min",1,0,-0.0056,-0.117,0.0701,0.4
"null",365,3,1000,900,23,FALSE,"null:outdoor_min",1,0,0.0028,-0.0825,0.0927,0.55775
"null",365,3,1000,900,23,FALSE,"null:caffeine_mg",1,0,0.0137,-0.0556,0.1372,0.68
"null",365,3,1000,900,23,FALSE,"null:alcohol_units",1,0,-5e-04,-0.096,0.0917,0.48825
"null",365,3,1000,900,23,FALSE,"null:work_day",1,0,-0.0073,-0.1353,0.0751,0.38725
"null",365,3,1000,900,23,FALSE,"null:travel",1,0,0.0137,-0.0513,0.1371,0.6905
"null",365,3,1000,900,23,FALSE,"null:sick",1,0,0.0121,-0.0535,0.1215,0.67725
"null",365,3,1000,900,23,FALSE,"null:temp_mean_c",1,0,0.0016,-0.0915,0.089,0.53325
"null",365,3,1000,900,23,FALSE,"null:precipitation_mm",1,0,0,-0.0798,0.0843,0.49925
"null",365,3,1000,900,23,FALSE,"null:sunshine_hours",1,0,0.0127,-0.0512,0.1154,0.681
"null",365,3,1000,900,23,FALSE,"null:daylight_hours",1,0,0.0094,-0.0692,0.1197,0.655
"null",365,3,1000,900,23,FALSE,"null:pm25",1,0,-0.0356,-0.1674,0.0238,0.166
"null",365,3,1000,900,23,FALSE,"null:indoor_pm25",1,0,-0.0243,-0.1622,0.0351,0.22925
"null",365,3,1000,900,23,FALSE,"null:indoor_voc",1,0,0.0116,-0.0537,0.1236,0.67175
"null",365,3,1000,900,23,FALSE,"H5",1,0,-0.0427,-0.6006,0.5915,0.43625
"null",365,4,1000,877,23,TRUE,"H1",1,0,0.0723,-0.1064,0.2471,0.79225
"null",365,4,1000,877,23,TRUE,"H2",1,0,-0.0283,-0.2077,0.1498,0.38075
"null",365,4,1000,877,23,TRUE,"H3a",-1,0,0.0122,-0.1931,0.2179,0.5445
"null",365,4,1000,877,23,TRUE,"H3b",-1,0,0.1038,-0.0961,0.303,0.848
"null",365,4,1000,877,23,TRUE,"H4",1,0,0.0503,-0.1623,0.2609,0.68825
"null",365,4,1000,877,23,TRUE,"null:sleep_efficiency",1,0,-3e-04,-0.0798,0.0681,0.484
"null",365,4,1000,877,23,TRUE,"null:hrv_ms",1,0,0.0057,-0.0459,0.1025,0.651
"null",365,4,1000,877,23,TRUE,"null:resting_hr",1,0,9e-04,-0.0624,0.0798,0.548
"null",365,4,1000,877,23,TRUE,"null:skin_temp_dev_c",1,0,-0.0048,-0.1044,0.0457,0.3605
"null",365,4,1000,877,23,TRUE,"null:exercise_min",1,0,-0.0032,-0.1066,0.0569,0.4005
"null",365,4,1000,877,23,TRUE,"null:outdoor_min",1,0,-3e-04,-0.0803,0.0668,0.485
"null",365,4,1000,877,23,TRUE,"null:caffeine_mg",1,0,0.0016,-0.0595,0.0895,0.5645
"null",365,4,1000,877,23,TRUE,"null:alcohol_units",1,0,0.0016,-0.0557,0.0831,0.56175
"null",365,4,1000,877,23,TRUE,"null:work_day",1,0,0.0048,-0.0435,0.1149,0.6255
"null",365,4,1000,877,23,TRUE,"null:travel",1,0,-0.0027,-0.0937,0.054,0.40525
"null",365,4,1000,877,23,TRUE,"null:sick",1,0,0.0028,-0.052,0.0953,0.59775
"null",365,4,1000,877,23,TRUE,"null:temp_mean_c",1,0,0.0015,-0.0631,0.0904,0.558
"null",365,4,1000,877,23,TRUE,"null:precipitation_mm",1,0,0.0042,-0.0483,0.0919,0.62825
"null",365,4,1000,877,23,TRUE,"null:sunshine_hours",1,0,7e-04,-0.0645,0.0737,0.53225
"null",365,4,1000,877,23,TRUE,"null:daylight_hours",1,0,0.0028,-0.0535,0.093,0.585
"null",365,4,1000,877,23,TRUE,"null:pm25",1,0,0.0026,-0.0493,0.0912,0.594
"null",365,4,1000,877,23,TRUE,"null:indoor_pm25",1,0,3e-04,-0.0681,0.0813,0.51675
"null",365,4,1000,877,23,TRUE,"null:indoor_voc",1,0,-0.0026,-0.1,0.0499,0.4115
"null",365,4,1000,877,23,TRUE,"H5",1,0,0.0859,-0.2372,0.3848,0.71675
"null",365,5,1000,861,23,TRUE,"H1",1,0,0.1072,-0.0744,0.2768,0.88175
"null",365,5,1000,861,23,TRUE,"H2",1,0,-0.0558,-0.2294,0.1187,0.265
"null",365,5,1000,861,23,TRUE,"H3a",-1,0,0.0193,-0.1708,0.2138,0.58175
"null",365,5,1000,861,23,TRUE,"H3b",-1,0,-0.1011,-0.3094,0.0899,0.158
"null",365,5,1000,861,23,TRUE,"H4",1,0,0.1961,-0.0036,0.3982,0.9725
"null",365,5,1000,861,23,TRUE,"null:sleep_efficiency",1,0,0.0013,-0.0667,0.0952,0.54475
"null",365,5,1000,861,23,TRUE,"null:hrv_ms",1,0,-0.0051,-0.1094,0.0543,0.383
"null",365,5,1000,861,23,TRUE,"null:resting_hr",1,0,0.0069,-0.0496,0.1136,0.64875
"null",365,5,1000,861,23,TRUE,"null:skin_temp_dev_c",1,0,0.0025,-0.0629,0.093,0.568
"null",365,5,1000,861,23,TRUE,"null:exercise_min",1,0,-0.0011,-0.101,0.0755,0.4625
"null",365,5,1000,861,23,TRUE,"null:outdoor_min",1,0,0.0035,-0.0671,0.1062,0.586
"null",365,5,1000,861,23,TRUE,"null:caffeine_mg",1,0,0.0029,-0.0662,0.1037,0.58325
